Name,Gender,Date,CurrentLoseStreak,CurrentWinStreak,Draws,AvgSigStrLanded,AvgSigStrPct,AvgSubAtt,AvgTDLanded,AvgTDPct,LongestWinStreak,Losses,TotalRoundsFought,TotalTitleBouts,WinsByDecisionMajority,WinsByDecisionSplit,WinsByDecisionUnanimous,WinsByKO,WinsBySubmission,WinsByTKODoctorStoppage,Wins,Stance,HeightCms,ReachCms,WeightLbs,Age,MatchWCRank,WFlyweightRank,WFeatherweightRank,WStrawweightRank,WBantamweightRank,HeavyweightRank,LightHeavyweightRank,MiddleweightRank,WelterweightRank,LightweightRank,FeatherweightRank,BantamweightRank,FlyweightRank,PFPRank
Aalon Cruz,MALE,2021-03-06,1,0,0,7.58,0.39,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Switch,182.88,198.12,145,31,,,,,,,,,,,,,,
Aaron Phillips,MALE,2014-05-24,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,24,,,,,,,,,,,,,,
Aaron Phillips,MALE,2014-08-23,1,0,0,18.0,0.45,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,25,,,,,,,,,,,,,,
Aaron Phillips,MALE,2020-07-15,2,0,0,1.87,0.59,0.5,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,30,,,,,,,,,,,,,,
Aaron Phillips,MALE,2023-04-15,3,0,0,1.51,0.53,0.6,0.86,0.5,0,3,8,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,135,33,,,,,,,,,,,,,,
Aaron Riley,MALE,2010-05-29,1,0,0,38.5,0.382,0.1667,0.8333,0.317,1,4,13,0,0,0,2,0,0,0,2,Southpaw,172.72,175.26,155,29,,,,,,,,,,,,,,
Aaron Riley,MALE,2011-09-24,0,1,0,39.5714,0.39,0.1429,1.1429,0.324,1,4,16,0,0,0,3,0,0,0,3,Southpaw,172.72,175.26,155,30,,,,,,,,,,,,,,
Aaron Riley,MALE,2013-07-27,1,0,0,36.0,0.369,0.125,1.0,0.284,1,5,17,0,0,0,3,0,0,0,3,Southpaw,172.72,175.26,155,32,,,,,,,,,,,,,,
Aaron Rosa,MALE,2011-06-11,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,28,,,,,,,,,,,,,,
Aaron Rosa,MALE,2011-11-12,1,0,0,73.0,0.4,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,28,,,,,,,,,,,,,,
Aaron Rosa,MALE,2012-03-02,0,1,0,66.0,0.495,0.0,0.0,0.0,1,1,6,0,1,0,0,0,0,0,1,Orthodox,193.04,198.12,205,28,,,,,,,,,,,,,,
Aaron Simpson,MALE,2010-06-19,0,3,0,25.6667,0.473,0.0,2.0,0.777,3,0,6,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,35,,,,,,,,,,,,,,
Aaron Simpson,MALE,2010-11-20,1,0,0,30.0,0.493,0.25,2.0,0.633,3,1,8,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,36,,,,,,,,,,,,,,
Aaron Simpson,MALE,2011-03-26,2,0,0,32.6,0.466,0.2,2.6,0.596,3,2,11,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,36,,,,,,,,,,,,,,
Aaron Simpson,MALE,2011-07-02,0,1,0,37.0,0.518,0.1667,3.8333,0.56,3,2,14,0,0,1,1,2,0,0,4,Orthodox,182.88,185.42,170,36,,,,,,,,,,,,,,
Aaron Simpson,MALE,2011-10-08,0,2,0,37.8571,0.537,0.4286,3.5714,0.499,3,2,17,0,0,1,2,2,0,0,5,Orthodox,182.88,185.42,170,37,,,,,,,,,,,,,,
Aaron Simpson,MALE,2012-02-15,0,3,0,40.375,0.521,0.375,3.125,0.436,3,2,20,0,0,1,3,2,0,0,6,Orthodox,182.88,185.42,170,37,,,,,,,,,,,,,,
Aaron Simpson,MALE,2012-07-11,1,0,0,42.0,0.536,0.3333,2.7778,0.388,3,3,23,0,0,1,3,2,0,0,6,Orthodox,182.88,185.42,170,37,,,,,,,,,,,,,,
Aaron Simpson,MALE,2012-10-05,0,1,0,42.6,0.55,0.3,3.1,0.391,3,3,26,0,0,1,4,2,0,0,7,Orthodox,182.88,185.42,170,38,,,,,,,,,,,,,,
Aaron Wilkinson,MALE,2010-12-04,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,183.0,155,23,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2016-11-19,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,170,31,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2017-05-28,0,1,0,12.0,0.54,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,31,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2017-12-02,1,0,0,27.5,0.485,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,32,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2018-01-20,0,1,0,27.3333,0.47,0.0,0.3333,0.11,1,1,5,0,0,0,0,2,0,0,2,Orthodox,177.8,185.42,170,32,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2018-09-08,0,2,0,23.75,0.45,0.0,0.25,0.083,2,1,6,0,0,0,0,3,0,0,3,Orthodox,177.8,185.42,170,33,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2020-07-15,0,3,0,4.59,0.46,0.0,0.57,0.33,3,1,7,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,34,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2020-11-14,1,0,0,4.54,0.48,0.0,0.73,0.28,3,2,10,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,35,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2021-04-17,2,0,0,3.71,0.47,0.0,0.53,0.28,3,3,11,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,35,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2021-08-28,3,0,0,3.71,0.48,0.0,0.53,0.28,3,4,14,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,185,36,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2022-02-19,0,1,0,3.62,0.49,0.2,0.88,0.38,3,4,15,0,0,0,0,5,0,0,5,Orthodox,177.8,185.42,185,36,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2023-01-14,1,0,0,3.62,0.49,0.2,0.88,0.38,3,5,18,0,0,0,0,5,0,0,5,Orthodox,177.8,185.42,185,37,,,,,,,,,,,,,,
Abdul Razak Alhassan,MALE,2023-10-07,0,1,0,3.62,0.49,0.2,0.88,0.38,3,5,20,0,0,0,0,6,0,0,6,Orthodox,177.8,185.42,185,38,,,,,,,,,,,,,,
Abdul-Kareem Al-Selwady,MALE,2024-03-02,0,1,0,4.14,0.34,0.0,2.32,0.3,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,155,28,,,,,,,,,,,,,,
Abdul-Kerim Edilov,MALE,2017-09-02,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,205,25,,,,,,,,,,,,,,
Abel Trujillo,MALE,2012-12-08,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,155,29,,,,,,,,,,,,,,
Abel Trujillo,MALE,2013-05-25,0,1,0,57.0,0.76,2.0,1.0,1.0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,172.72,177.8,155,29,,,,,,,,,,,,,,
Abel Trujillo,MALE,2013-12-14,2,0,0,39.3333,0.507,0.6667,1.0,1.0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,172.72,177.8,155,30,,,,,,,,,,,,,,
Abel Trujillo,MALE,2014-02-01,0,1,0,40.25,0.548,0.5,2.0,0.958,1,2,9,0,0,0,0,2,0,0,2,Orthodox,172.72,177.8,155,30,,,,,,,,,,,,,,
Abel Trujillo,MALE,2014-12-06,0,2,0,35.8,0.482,0.4,1.6,0.766,2,2,11,0,0,0,0,3,0,0,3,Orthodox,172.72,177.8,155,31,,,,,,,,,,,,,,
Abel Trujillo,MALE,2015-11-07,1,0,0,32.3333,0.433,0.3333,1.6667,0.705,2,3,13,0,0,0,0,3,0,0,3,Orthodox,172.72,177.8,155,32,,,,,,,,,,,,,,
Abel Trujillo,MALE,2016-01-02,0,1,0,27.7143,0.371,0.2857,1.4286,0.604,2,3,14,0,0,0,0,3,0,0,4,Orthodox,172.72,177.8,155,32,,,,,,,,,,,,,,
Abel Trujillo,MALE,2016-05-29,0,2,0,24.75,0.37,0.375,1.25,0.529,2,3,15,0,0,0,0,3,1,0,5,Orthodox,172.72,177.8,155,32,,,,,,,,,,,,,,
Abel Trujillo,MALE,2017-02-04,0,3,0,25.8889,0.377,0.3333,1.4444,0.581,3,3,18,0,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,33,,,,,,,,,,,,,,
Abel Trujillo,MALE,2017-12-16,1,0,0,24.4,0.372,0.3,1.4,0.543,3,4,21,0,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,34,,,,,,,,,,,,,,
Abner Lloveras,MALE,2015-12-11,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,155,33,,,,,,,,,,,,,,
Abu Azaitar,MALE,2018-07-22,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,185,32,,,,,,,,,,,,,,
Abu Azaitar,MALE,2021-03-27,0,1,0,5.21,0.44,0.0,0.5,0.25,1,0,3,0,0,0,1,0,0,0,1,Orthodox,175.26,193.04,185,35,,,,,,,,,,,,,,
Abu Azaitar,MALE,2023-10-21,1,0,0,4.38,0.43,0.0,1.0,0.37,1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,193.04,185,37,,,,,,,,,,,,,,
Abubakar Nurmagomedov,MALE,2019-11-09,0,0,0,,0.44,0.0,5.29,1.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,30,,,,,,,,,,,,,,
Abubakar Nurmagomedov,MALE,2021-03-27,1,0,0,3.59,0.49,0.0,1.68,0.33,0,1,1,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,31,,,,,,,,,,,,,,
Abubakar Nurmagomedov,MALE,2022-10-22,0,1,0,2.78,0.53,0.0,1.25,0.22,1,1,4,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,32,,,,,,,,,,,,,,
Abubakar Nurmagomedov,MALE,2023-06-03,0,2,0,2.78,0.53,0.0,1.25,0.22,2,1,7,0,0,0,2,0,0,0,2,Orthodox,180.34,182.88,170,33,,,,,,,,,,,,,,
Abus Magomedov,MALE,2022-09-03,0,0,0,2.88,0.44,0.0,2.65,0.77,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,185,32,,,,,,,,,,,,,,
Abus Magomedov,MALE,2023-07-01,0,1,0,2.88,0.44,0.0,2.65,0.77,1,0,1,0,0,0,0,1,0,0,1,Orthodox,187.96,198.12,185,32,,,,,,,,,,,,,,
Abus Magomedov,MALE,2023-11-04,1,0,0,2.88,0.44,0.0,2.65,0.77,1,1,3,0,0,0,0,1,0,0,1,Orthodox,187.96,198.12,185,33,,,,,,,,,,,,,,
Abus Magomedov,MALE,2024-05-18,2,0,0,2.88,0.44,0.0,2.65,0.77,1,2,6,0,0,0,0,1,0,0,1,Orthodox,187.96,198.12,185,33,,,,,,,,,,,,,,
Abus Magomedov,MALE,2024-10-26,0,1,0,2.65,0.44,0.3,3.12,0.64,1,2,9,0,0,0,1,1,0,0,2,Orthodox,187.96,198.12,185,34,,,,,,,,,,,,,,
Adam Cella,MALE,2013-04-06,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,27,,,,,,,,,,,,,,
Adam Fugitt,MALE,2022-07-30,0,0,0,4.72,0.45,0.0,2.04,0.29,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,195.58,170,33,,,,,,,,,,,,,,
Adam Fugitt,MALE,2023-02-04,1,0,0,4.72,0.45,0.0,2.04,0.29,0,1,3,0,0,0,0,0,0,0,0,Southpaw,185.42,195.58,170,34,,,,,,,,,,,,,,
Adam Fugitt,MALE,2023-06-10,0,1,0,4.72,0.45,0.0,2.04,0.29,1,1,4,0,0,0,0,1,0,0,1,Southpaw,185.42,195.58,170,34,,,,,,,,,,,,,,
Adam Fugitt,MALE,2024-06-15,1,0,0,4.72,0.45,0.0,2.04,0.29,1,2,6,0,0,0,0,1,0,0,1,Southpaw,185.42,195.58,170,35,,,,,,,,,,,,,,
Adam Milstead,MALE,2016-05-29,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,205,28,,,,,,,,,,,,,,
Adam Milstead,MALE,2018-03-03,1,0,0,29.5,0.75,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,30,,,,,,,,,,,,,,
Adam Milstead,MALE,2018-12-15,2,0,0,39.0,0.643,0.0,0.0,0.0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,31,,,,,,,,,,,,,,
Adam Wieczorek,MALE,2017-11-18,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,195.58,205.74,250,25,,,,,,,,,,,,,,
Adam Wieczorek,MALE,2018-04-14,0,1,0,42.0,0.44,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,195.58,205.74,250,26,,,,,,,,,,,,,,
Adam Wieczorek,MALE,2018-11-03,0,2,0,27.5,0.46,0.5,0.0,0.0,2,0,5,0,0,0,1,0,1,0,2,Orthodox,195.58,205.74,250,26,,,,,,,,,,,,,,
Adam Yandiev,MALE,2018-09-15,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,185,30,,,,,,,,,,,,,,
Adlan Amagov,MALE,2013-04-06,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,170,26,,,,,,,,,,,,,,
Adlan Amagov,MALE,2013-10-19,0,1,0,38.0,0.38,0.0,6.0,0.6,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,193.04,170,26,,,,,,,,,,,,,,
Adrian Yanez,MALE,2020-10-31,0,1,0,10.77,0.7,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,170.18,177.8,135,26,,,,,,,,,,,,,,
Adrian Yanez,MALE,2021-03-20,0,2,0,4.69,0.44,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,170.18,177.8,135,27,,,,,,,,,,,,,,
Adrian Yanez,MALE,2021-07-24,0,3,0,6.13,0.38,0.0,0.0,0.0,3,0,5,0,0,0,0,3,0,0,3,Orthodox,170.18,177.8,135,27,,,,,,,,,,,,,,
Adrian Yanez,MALE,2021-11-20,0,4,0,6.51,0.41,0.0,0.0,0.0,4,0,7,0,0,0,0,4,0,0,4,Orthodox,170.18,177.8,135,27,,,,,,,,,,,,,,
Adrian Yanez,MALE,2022-06-18,0,5,0,6.51,0.41,0.0,0.0,0.0,5,0,10,0,0,1,0,4,0,0,5,Orthodox,170.18,177.8,135,28,,,,,,,,,,,,,,
Adrian Yanez,MALE,2023-04-08,0,6,0,6.51,0.41,0.0,0.0,0.0,6,0,11,0,0,1,0,5,0,0,6,Orthodox,170.18,177.8,135,29,12.0,,,,,,,,,,,12.0,,
Adrian Yanez,MALE,2023-10-14,1,0,0,6.51,0.41,0.0,0.0,0.0,6,1,12,0,0,1,0,5,0,0,6,Orthodox,170.18,177.8,135,29,14.0,,,,,,,,,,,14.0,,
Adrian Yanez,MALE,2024-05-18,2,0,0,6.51,0.41,0.0,0.0,0.0,6,2,14,0,0,1,0,5,0,0,6,Orthodox,170.18,177.8,135,30,,,,,,,,,,,,,,
Adriano Martins,MALE,2013-11-09,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,30,,,,,,,,,,,,,,
Adriano Martins,MALE,2014-01-25,0,1,0,16.0,0.72,1.0,1.0,1.0,1,0,2,0,0,0,0,0,1,0,1,Southpaw,177.8,182.88,155,31,,,,,,,,,,,,,,
Adriano Martins,MALE,2014-07-06,1,0,0,14.5,0.58,0.5,0.5,0.5,1,1,3,0,0,0,0,0,1,0,1,Southpaw,177.8,182.88,155,31,,,,,,,,,,,,,,
Adriano Martins,MALE,2015-02-22,0,1,0,12.6667,0.51,0.3333,0.3333,0.333,1,1,4,0,0,0,0,1,1,0,2,Southpaw,177.8,182.88,155,32,,,,,,,,,,,,,,
Adriano Martins,MALE,2015-10-03,0,2,0,12.5,0.46,0.25,1.0,0.438,2,1,7,0,0,1,0,1,1,0,3,Southpaw,177.8,182.88,155,32,,,,,,,,,,,,,,
Adriano Martins,MALE,2016-10-08,0,3,0,10.6,0.452,0.2,0.8,0.35,3,1,8,0,0,1,0,2,1,0,4,Southpaw,177.8,182.88,155,33,,,,,,,,,,,,,,
Adriano Martins,MALE,2017-09-09,1,0,0,14.5,0.443,0.1667,0.6667,0.292,3,2,11,0,0,1,0,2,1,0,4,Southpaw,177.8,182.88,155,34,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2017-02-19,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,29,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2017-11-04,0,1,0,44.0,0.39,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,135,29,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2019-05-04,1,0,0,45.0,0.41,0.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,135,31,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2021-02-20,0,1,0,2.82,0.4,0.0,0.33,0.16,1,2,1,0,0,0,0,0,0,0,2,Orthodox,172.72,172.72,135,33,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2022-07-09,0,1,0,3.43,0.43,0.0,0.2,0.16,1,2,10,0,0,0,1,1,0,0,2,Orthodox,172.72,172.72,135,34,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2023-06-10,0,2,0,3.43,0.43,0.0,0.2,0.16,2,2,13,0,0,0,2,1,0,0,3,Orthodox,172.72,172.72,135,35,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2024-03-02,0,3,0,3.43,0.43,0.0,0.2,0.16,3,2,14,0,0,0,2,2,0,0,4,Orthodox,172.72,172.72,135,36,,,,,,,,,,,,,,
Aiemann Zahabi,MALE,2024-11-02,0,4,0,4.06,0.46,0.0,0.16,0.14,4,2,17,0,0,0,3,2,0,0,5,Orthodox,172.72,172.72,135,36,,,,,,,,,,,,,,
Ailin Perez,FEMALE,2022-09-03,0,0,0,2.91,0.58,0.0,5.19,0.51,0,0,0,0,0,0,0,0,0,0,0,Switch,165.1,167.64,135,27,,,,,,,,,,,,,,
Ailin Perez,FEMALE,2023-07-15,1,0,0,2.91,0.58,0.0,5.19,0.51,0,1,2,0,0,0,0,0,0,0,0,Switch,165.1,167.64,135,28,,,,,,,,,,,,,,
Ailin Perez,FEMALE,2023-11-18,0,1,0,2.91,0.58,0.0,5.19,0.51,1,1,5,0,0,0,1,0,0,0,1,Switch,165.1,167.64,135,29,,,,,,,,,,,,,,
Ailin Perez,FEMALE,2024-06-01,0,2,0,2.84,0.58,0.3,5.36,0.51,2,1,8,0,0,0,2,0,0,0,2,Switch,165.1,167.64,135,29,,,,,,,,,,,,,,
Ailin Perez,FEMALE,2024-09-28,0,3,0,2.84,0.58,0.3,5.36,0.51,3,1,11,0,0,0,3,0,0,0,3,Switch,165.1,167.64,135,29,15.0,,,,15.0,,,,,,,,,
Aisling Daly,FEMALE,2014-12-12,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,157.48,162.56,115,26,,,,,,,,,,,,,,
Aisling Daly,FEMALE,2015-04-25,0,1,0,16.0,0.61,1.0,1.0,0.5,1,0,1,0,0,0,0,0,1,0,1,Switch,157.48,162.56,115,27,10.0,,,10.0,,,,,,,,,,
Aisling Daly,FEMALE,2015-10-24,1,0,0,21.5,0.51,1.0,1.5,0.45,1,1,4,0,0,0,0,0,1,0,1,Switch,157.48,162.56,115,27,15.0,,,15.0,,,,,,,,,,
Akbarh Arreola,MALE,2014-07-26,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,155,31,,,,,,,,,,,,,,
Akbarh Arreola,MALE,2014-11-22,1,0,0,30.0,0.41,0.0,2.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,155,31,,,,,,,,,,,,,,
Akbarh Arreola,MALE,2015-03-21,0,1,0,21.0,0.435,0.5,1.5,1.0,1,1,4,0,0,0,0,0,1,0,1,Southpaw,177.8,180.34,155,32,,,,,,,,,,,,,,
Akbarh Arreola,MALE,2015-11-14,1,0,0,25.3333,0.44,0.3333,1.0,0.667,1,2,7,0,0,0,0,0,1,0,1,Southpaw,177.8,180.34,155,32,,,,,,,,,,,,,,
Akira Corassani,MALE,2012-09-29,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,145,30,,,,,,,,,,,,,,
Akira Corassani,MALE,2013-04-06,0,1,0,45.0,0.48,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,172.72,172.72,145,30,,,,,,,,,,,,,,
Akira Corassani,MALE,2013-11-30,0,2,0,46.5,0.515,0.0,1.0,0.165,2,0,6,0,0,1,1,0,0,0,2,Orthodox,172.72,172.72,145,31,,,,,,,,,,,,,,
Akira Corassani,MALE,2014-04-16,0,3,0,31.3333,0.51,0.0,0.6667,0.11,3,0,7,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,31,,,,,,,,,,,,,,
Akira Corassani,MALE,2014-10-04,1,0,0,29.5,0.473,0.0,0.5,0.083,3,1,9,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,32,,,,,,,,,,,,,,
Akira Corassani,MALE,2015-01-24,2,0,0,25.8,0.452,0.0,0.4,0.066,3,2,10,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,32,,,,,,,,,,,,,,
Al Iaquinta,MALE,2012-06-01,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,25,,,,,,,,,,,,,,
Al Iaquinta,MALE,2013-08-31,1,0,0,8.0,0.5,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,26,,,,,,,,,,,,,,
Al Iaquinta,MALE,2013-10-26,0,1,0,44.0,0.475,0.0,2.0,0.5,1,1,4,1,0,0,1,0,0,0,1,Orthodox,177.8,177.8,155,26,,,,,,,,,,,,,,
Al Iaquinta,MALE,2014-02-01,0,2,0,57.6667,0.46,0.0,2.0,0.417,2,1,7,1,0,0,2,0,0,0,2,Orthodox,177.8,177.8,155,26,,,,,,,,,,,,,,
Al Iaquinta,MALE,2014-05-24,0,3,0,55.5,0.445,0.25,1.5,0.313,3,1,10,1,0,0,3,0,0,0,3,Orthodox,177.8,177.8,155,27,,,,,,,,,,,,,,
Al Iaquinta,MALE,2014-09-05,1,0,0,47.0,0.492,0.6,1.4,0.45,3,2,12,1,0,0,3,0,0,0,3,Orthodox,177.8,177.8,155,27,,,,,,,,,,,,,,
Al Iaquinta,MALE,2014-11-07,0,1,0,54.6667,0.48,0.5,1.1667,0.375,3,2,15,1,0,0,3,1,0,0,4,Orthodox,177.8,177.8,155,27,,,,,,,,,,,,,,
Al Iaquinta,MALE,2015-01-31,0,2,0,51.2857,0.459,0.4286,1.0,0.321,3,2,17,1,0,0,3,2,0,0,5,Orthodox,177.8,177.8,155,27,,,,,,,,,,,,,,
Al Iaquinta,MALE,2015-04-04,0,3,0,52.25,0.449,0.375,1.0,0.323,3,2,19,1,0,0,3,3,0,0,6,Orthodox,177.8,177.8,155,27,15.0,,,,,,,,,15.0,,,,
Al Iaquinta,MALE,2017-04-22,0,4,0,52.5556,0.438,0.3333,0.8889,0.287,4,2,22,1,0,1,3,3,0,0,7,Orthodox,177.8,177.8,155,29,14.0,,,,,,,,,14.0,,,,
Al Iaquinta,MALE,2018-04-07,0,5,0,48.5,0.457,0.3,0.8,0.258,5,2,23,1,0,1,3,4,0,0,8,Orthodox,177.8,177.8,155,30,11.0,,,,,,,,,11.0,,,,
